Company Name,Job Title,Salary,Min salary,Max salary,Fourchette
Capgemini,Data Engineer,40416,32k,50k,31838 - 49831 Fourchette
Société Générale,Data Engineer,46500,43k,55k,42971 - 55000 Fourchette
Contentsquare,Data Engineer,65104,45k,78k,45000 - 77505 Fourchette
JEMS Group,Data Engineer,46537,35k,62k,35152 - 61801 Fourchette
Sfeir,Data Engineer,52317,36k,82k,36240 - 82000 Fourchette
Devoteam,Data Engineer,43603,35k,54k,35152 - 54000 Fourchette
Sopra Steria,Data Engineer,37364,31k,59k,31002 - 58505 Fourchette
Atos,Data Engineer,37565,35k,43k,35000 - 42972 Fourchette
CGI,Data Engineer,42628,31k,52k,31175 - 52056 Fourchette
Orange,Data Engineer,46503,38k,52k,38366 - 51670 Fourchette
Artefact,Data Engineer,53311,46k,60k,46000 - 60000 Fourchette
Umanis,Data Engineer,52928,38k,67k,38280 - 66795 Fourchette
Aubay,Data Engineer,47957,40k,52k,40000 - 51920 Fourchette
Keyrus,Data Engineer,47184,36k,70k,35681 - 70408 Fourchette
Deezer,Data Engineer,48000,43k,64k,42567 - 63572 Fourchette
OCTO Technology,Data Engineer,44543,42k,50k,41559 - 50435 Fourchette
Thales,Data Engineer,41336,35k,44k,35000 - 44019 Fourchette
Ippon,Data Engineer,36686,36k,52k,36000 - 51603 Fourchette
BNP Paribas,Data Engineer,55503,44k,63k,43607 - 63000 Fourchette
Dailymotion,Data Engineer,61278,52k,74k,52453 - 74217 Fourchette
ENGIE,Data Engineer,43164,15k,82k,15396 - 81527 Fourchette
ALTEN,Data Engineer,41563,33k,53k,32738 - 53280 Fourchette
IVIDATA Group,Data Engineer,60000,48k,66k,47861 - 65942 Fourchette
StarClay,Data Engineer,46761,40k,54k,40000 - 54222 Fourchette
La Redoute,Data Engineer,42878,35k,48k,35305 - 47500 Fourchette
beNext,Data Engineer,46258,41k,52k,41000 - 52173 Fourchette
Numberly (1000mercis group),Data Engineer,41544,38k,50k,38331 - 50026 Fourchette
Avanade,Data Engineer,45636,41k,55k,40971 - 55417 Fourchette
Octopeek,Data Engineer,47536,29k,58k,29377 - 58497 Fourchette
Orange,Data Engineer - Stagiaire mensuel,1442,1k,2k,1100 - 1507 Fourchette
Inetum,Data Engineer,41357,38k,55k,37853 - 55479 Fourchette
MFG Labs,Data Engineer,44760,40k,59k,40416 - 58817 Fourchette
Accenture,Data Engineer,43607,40k,58k,40000 - 57513 Fourchette
onepoint,Data Engineer,45392,38k,52k,37853 - 51771 Fourchette
Informatique CDC,Data Engineer,49427,39k,60k,39269 - 60261 Fourchette
BlaBlaCar,Data Engineer,60522,50k,67k,50492 - 66795 Fourchette
Micropole,Data Engineer,47861,40k,53k,40000 - 53179 Fourchette
Business Decision,Data Engineer,48000,41k,51k,41349 - 50588 Fourchette
Davidson Consulting,Data Engineer,51651,40k,60k,39500 - 59794 Fourchette
Capital Fund Management,Data Engineer,66816,47k,74k,47163 - 74217 Fourchette
Margo,Data Engineer,41944,39k,53k,39000 - 52703 Fourchette
Atos,Data Engineer - Stagiaire mensuel,1380,1k,2k,1243 - 1739 Fourchette
MY TRAFFIC,Data Engineer,50061,45k,56k,44790 - 55858 Fourchette
IBM,Data Engineer,47649,45k,49k,45015 - 49397 Fourchette
FABERNOVEL,Data Engineer,46403,43k,63k,43294 - 63000 Fourchette
Renault Group,Data Engineer - Mensuel,1191,1k,2k,1043 - 2327 Fourchette
NODYA Group,Data Engineer,43201,39k,48k,39340 - 48211 Fourchette
Criteo,Data Engineer,80503,48k,87k,47861 - 87173 Fourchette
Groupe SII,Data Engineer,40734,38k,45k,38000 - 45002 Fourchette
Safran,Data Engineer,47270,13k,48k,13200 - 48378 Fourchette
CANAL+ Group,Data Engineer,45371,44k,56k,43694 - 55731 Fourchette
FINAXYS,Data Engineer,50621,46k,55k,45558 - 54804 Fourchette
Crédit Agricole,Data Engineer,48862,40k,55k,40348 - 55000 Fourchette
Société Générale,Data Engineer - Stagiaire mensuel,1274,650,1k,650 - 1386 Fourchette
Synthesio,Data Engineer,60587,56k,66k,55517 - 66074 Fourchette
Business & Decision Group,Data Engineer,33928,34k,48k,33761 - 47888 Fourchette
Soat,Data Engineer,46745,46k,72k,46434 - 72157 Fourchette
Kayrros,Data Engineer,44000,40k,48k,40000 - 48241 Fourchette
Sicara,Data Engineer,52115,44k,53k,44383 - 53286 Fourchette
Ubisoft,Data Engineer,50820,49k,65k,48698 - 64904 Fourchette
Axionable,Data Engineer,60868,40k,76k,40348 - 76000 Fourchette
Lectra,Data Engineer,42447,42k,49k,41923 - 48500 Fourchette
TotalEnergies,Data Engineer,47861,39k,57k,39000 - 56948 Fourchette
Devoteam G Cloud,Data Engineer,42000,42k,46k,42000 - 46401 Fourchette
Qwant,Data Engineer,41923,37k,42k,37389 - 42157 Fourchette
Equancy,Data Engineer,44670,44k,47k,43825 - 46602 Fourchette
Cognizant Technology Solutions,Data Engineer,47861,40k,51k,39899 - 51130 Fourchette
IDEMIA,Data Engineer,45734,38k,55k,37709 - 54877 Fourchette
Sigfox,Data Engineer,42543,40k,44k,40429 - 44210 Fourchette
Zenika,Data Engineer,46956,43k,48k,43127 - 48211 Fourchette
Datatorii,Data Engineer,55132,53k,56k,52696 - 55517 Fourchette
INVIVOO,Data Engineer,52000,48k,60k,47711 - 60092 Fourchette
Extia,Data Engineer,45912,45k,51k,45060 - 51130 Fourchette
Expleo Group,Data Engineer,37625,37k,40k,37410 - 40000 Fourchette
Alchimie,Data Engineer,58614,47k,59k,46503 - 58614 Fourchette
Astek,Data Engineer,43294,34k,47k,34412 - 46956 Fourchette
CS Group,Data Engineer,37161,37k,53k,37000 - 53012 Fourchette
Openvalue,Data Engineer,50435,38k,58k,38380 - 58458 Fourchette
WeWyse,Data Engineer,54770,54k,62k,54138 - 61849 Fourchette
Believe,Data Engineer,57155,52k,63k,51959 - 62967 Fourchette
Meritis,Data Engineer,60000,56k,65k,56193 - 64691 Fourchette
Adikteev,Data Engineer,63000,51k,65k,51331 - 64674 Fourchette
Société Générale,Data Engineer - Mensuel,1528,2k,3k,1506 - 3494 Fourchette
Devoteam G Cloud,Data Engineer - Stagiaire mensuel,1035,1k,2k,1035 - 1553 Fourchette
Meilleurs Agents,Data Engineer,46650,46k,47k,46038 - 47440 Fourchette
Leboncoin,Data Engineer,55000,50k,70k,50435 - 69976 Fourchette
Padoa,Data Engineer - Stagiaire mensuel,1240,1k,1k,1172 - 1467 Fourchette
Cegedim,Data Engineer,47861,48k,51k,47711 - 50520 Fourchette
Continental,Data Engineer,36658,33k,42k,33448 - 41563 Fourchette
RelevanC,Data Engineer,48771,43k,50k,42543 - 49881 Fourchette
Sogeti,Data Engineer,37731,36k,38k,36341 - 38000 Fourchette
Quantmetry,Data Engineer,52000,45k,53k,44790 - 52753 Fourchette
SAP,Data Engineer,48471,43k,57k,43127 - 57155 Fourchette
Alteca,Data Engineer,40875,30k,47k,29757 - 46763 Fourchette
Converteo,Data Engineer,50959,45k,52k,45392 - 52226 Fourchette
Groupama,Data Engineer,50675,51k,51k,50621 - 51356 Fourchette
Ysance,Data Engineer,40980,40k,47k,40000 - 47163 Fourchette
nam.R,Data Engineer,46316,45k,51k,44794 - 51081 Fourchette
Sancare,Data Engineer,44k -49k,44k,49k,44122 - 48528 Fourchette
Add Intelligence to data,Data Engineer,38k -42k,38k,42k,37779 - 41643 Fourchette
Avanade,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1217 - 1434 Fourchette
DataFab,Data Engineer,57k -64k,57k,64k,56867 - 64077 Fourchette
Canon,Data Engineer - Mensuel,3k -3k,3k,3k,2796 - 3496 Fourchette
Kiss The Bride,Data Engineer,31k -44k,31k,44k,30818 - 44030 Fourchette
Air Liquide,Data Engineer,43k -54k,43k,54k,42812 - 54311 Fourchette
Openfield Live,Data Engineer,48k -53k,48k,53k,47734 - 52582 Fourchette
Capgemini Engineering,Data Engineer,39k -42k,39k,42k,38870 - 42498 Fourchette
AUDENSIEL,Data Engineer,44k -57k,44k,57k,43988 - 57010 Fourchette
Saint-Gobain,Data Engineer,43k -67k,43k,67k,42711 - 67318 Fourchette
Freelance,Data Engineer,46k -56k,46k,56k,45799 - 55557 Fourchette
Renault Group,Data Engineer,43k -65k,43k,65k,43245 - 65194 Fourchette
Kapten,Data Engineer,42k -48k,42k,48k,42304 - 48457 Fourchette
Google,Data Engineer,46k -52k,46k,52k,45709 - 52195 Fourchette
Decathlon,Data Engineer,39k -47k,39k,47k,39494 - 46716 Fourchette
Cleyrop,Data Engineer,38k -57k,38k,57k,38216 - 57430 Fourchette
Inato,Data Engineer,67k -75k,67k,75k,67034 - 74585 Fourchette
Positive Thinking Company,Data Engineer,42k -62k,42k,62k,41658 - 62243 Fourchette
Mangopay,Data Engineer,59k -68k,59k,68k,58516 - 67596 Fourchette
TRAXENS,Data Engineer,36k -48k,36k,48k,36129 - 48246 Fourchette
Nexway,Data Engineer,34k -39k,34k,39k,34240 - 38796 Fourchette
Heetch,Data Engineer,51k -83k,51k,83k,50792 - 82606 Fourchette
Allianz,Data Engineer,61k -179k,61k,179k,61276 - 179423 Fourchette
Sibylone,Data Engineer,39k -46k,39k,46k,38814 - 46253 Fourchette
Nyctale,Data Engineer,46k -50k,46k,50k,46045 - 50049 Fourchette
Datavalue Consulting,Data Engineer,44k -52k,44k,52k,43594 - 51723 Fourchette
OMNILOG,Data Engineer - Mensuel,4k -4k,4k,4k,3576 - 4077 Fourchette
DTA Ingénierie,Data Engineer,26k -31k,26k,31k,26069 - 31213 Fourchette
Lixo,Data Engineer,46k -54k,46k,54k,45542 - 53744 Fourchette
Alterway,Data Engineer,66k -72k,66k,72k,66378 - 71736 Fourchette
SFR,Data Engineer - Stagiaire mensuel,1k -2k,1k,2k,1388 - 1746 Fourchette
Umbrella Corporation,Data Engineer,46k -55k,46k,55k,46138 - 55073 Fourchette
OP-Rate,Data Engineer,38k -42k,38k,42k,38202 - 41872 Fourchette
ALPHA10X,Data Engineer - Stagiaire mensuel,997 -1k,997,1k,997 - 1094 Fourchette
Ausy,Data Engineer,35k -39k,35k,39k,35085 - 38818 Fourchette
Groupe Intm,Data Engineer,37k -39k,37k,39k,36837 - 39353 Fourchette
test,Data Engineer,42k -50k,42k,50k,42064 - 49565 Fourchette
Novagen,Data Engineer,41k -49k,41k,49k,41082 - 49150 Fourchette
Softeam,Data Engineer,56k -62k,56k,62k,56246 - 62242 Fourchette
dcube,Data Engineer,40k -47k,40k,47k,39772 - 47003 Fourchette
Manomano,Data Engineer,46k -52k,46k,52k,45515 - 51776 Fourchette
Claranet,Data Engineer,37k -43k,37k,43k,37332 - 43308 Fourchette
Amazon,Data Engineer - Mensuel,2k -5k,2k,5k,2477 - 4802 Fourchette
Talan,Data Engineer,44k -48k,44k,48k,43585 - 48176 Fourchette
Generali,Data Engineer,46k -52k,46k,52k,46204 - 51741 Fourchette
AXA Investment Managers,Data Engineer,57k -77k,57k,77k,56874 - 77339 Fourchette
Orange Business Services,Data Engineer,37k -40k,37k,40k,36567 - 40365 Fourchette
Weborama,Data Engineer,63k -69k,63k,69k,62735 - 68952 Fourchette
VISEO,Data Engineer,36k -47k,36k,47k,36045 - 46755 Fourchette
Ekimetrics,Data Engineer,40k -47k,40k,47k,39837 - 46879 Fourchette
Valeuriad,Data Engineer,37k -41k,37k,41k,37288 - 41390 Fourchette
Matera,Data Engineer,47k -57k,47k,57k,46870 - 56945 Fourchette
Padoa,Data Engineer,44k -53k,44k,53k,43631 - 52657 Fourchette
Hawk,Data Engineer,47k -51k,47k,51k,47087 - 51023 Fourchette
Rakuten France,Data Engineer,62k -68k,62k,68k,62156 - 67542 Fourchette
Safran,Data Engineer - Mensuel,1k -1k,1k,1k,1188 - 1336 Fourchette
Expertime,Data Engineer,40k -43k,40k,43k,39995 - 43447 Fourchette
Bluescale,Data Engineer,39k -43k,39k,43k,39112 - 43306 Fourchette
La Poste,Data Engineer,35k -56k,35k,56k,35123 - 56010 Fourchette
PriceHubble,Data Engineer,51k -61k,51k,61k,51288 - 60531 Fourchette
Toucan Toco,Data Engineer,38k -55k,38k,55k,38210 - 55254 Fourchette
Amadeus,Data Engineer,42k -52k,42k,52k,42477 - 52190 Fourchette
Doctolib,Data Engineer,39k -50k,39k,50k,38668 - 49837 Fourchette
Novelis (France),Data Engineer,37k -42k,37k,42k,36909 - 42468 Fourchette
Air France,Data Engineer,41k -47k,41k,47k,40963 - 47324 Fourchette
Armis,Data Engineer,48k -56k,48k,56k,48187 - 55702 Fourchette
Confidential,Data Engineer,40k -62k,40k,62k,40496 - 62188 Fourchette
AKKA Technologies,Data Engineer,33k -43k,33k,43k,33386 - 43227 Fourchette
SFR,Data Engineer - Mensuel,2k -2k,2k,2k,1648 - 1779 Fourchette
Altran Corporation,Data Engineer,30k -33k,30k,33k,30328 - 32916 Fourchette
Cleverside,Data Engineer,71k -77k,71k,77k,70977 - 77008 Fourchette
Bomzai,Data Engineer,18k -20k,18k,20k,17944 - 19526 Fourchette
Medici TV,Data Engineer,51k -54k,51k,54k,50710 - 54110 Fourchette
Groupement Les Mousquetaires,Data Engineer,41k -45k,41k,45k,41498 - 45228 Fourchette
InsideBoard,Data Engineer,51k -54k,51k,54k,50855 - 54172 Fourchette
SOPHiA GENETICS,Data Engineer,36k -39k,36k,39k,35839 - 38816 Fourchette
iBanFirst,Data Engineer,34k -36k,34k,36k,33789 - 36254 Fourchette
OneWeb Satellites,Data Engineer - Stagiaire mensuel,751 -809,751,809,751 - 809 Fourchette
Mangrove,Data Engineer,39k -43k,39k,43k,38764 - 42573 Fourchette
Software Factory,Data Engineer,45k -49k,45k,49k,45169 - 49045 Fourchette
Amazon,Data Engineer - Contrat temporaire,54k -59k,54k,59k,54276 - 58841 Fourchette
Datapy,Data Engineer,53k -57k,53k,57k,53120 - 56769 Fourchette
The Boston Consulting Group,Data Engineer,51k -56k,51k,56k,51083 - 55639 Fourchette
BiGapps Interactive,Data Engineer,40k -43k,40k,43k,39991 - 43039 Fourchette
Sully Group,Data Engineer,43k -47k,43k,47k,42770 - 46636 Fourchette
Prisma Media,Data Engineer,51k -55k,51k,55k,51222 - 55125 Fourchette
Néo-Soft Groupe,Data Engineer,37k -40k,37k,40k,37444 - 40089 Fourchette
Groupe SeLoger,Data Engineer - Stagiaire mensuel,1k -2k,1k,2k,1426 - 1548 Fourchette
Air Liquide,Data Engineer - Contrat temporaire,72k$US -77k$US,72k$US,77k$US,71584$US - 77489$US Fourchette
Youth Brain,Data Engineer,40k -44k,40k,44k,40360 - 43509 Fourchette
SQLI,Data Engineer - Mensuel,1k -1k,1k,1k,1056 - 1146 Fourchette
Evoteo,Data Engineer,32k -34k,32k,34k,31806 - 34250 Fourchette
KMTX,Data Engineer,46k -50k,46k,50k,46498 - 50487 Fourchette
Keolis,Data Engineer,61k -66k,61k,66k,61359 - 65931 Fourchette
Ciblo,Data Engineer,46k -50k,46k,50k,45645 - 50226 Fourchette
Amiltone,Data Engineer,31k -34k,31k,34k,31348 - 33879 Fourchette
Delair,Data Engineer,43k -46k,43k,46k,42728 - 46041 Fourchette
Schneider Electric,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1247 - 1363 Fourchette
Actimage,Data Engineer,44k -47k,44k,47k,43714 - 47152 Fourchette
The Independent Calculation Agent,Data Engineer,40k -44k,40k,44k,40412 - 43646 Fourchette
Easyence,Data Engineer,52k -56k,52k,56k,52320 - 55933 Fourchette
Voodoo,Data Engineer,62k -67k,62k,67k,61592 - 66665 Fourchette
Murex,Data Engineer - Stagiaire mensuel,2k -2k,2k,2k,2030 - 2187 Fourchette
Zenly,Data Engineer,77k -83k,77k,83k,77094 - 83038 Fourchette
BBDO,Data Engineer - Horaire,26$US -28$US,26$US,28$US,26$US - 28$US Fourchette
Adevinta,Data Engineer,47k -51k,47k,51k,46686 - 50621 Fourchette
Orange,Data Engineer - Mensuel,2k -2k,2k,2k,1634 - 1758 Fourchette
Apgar Consulting,Data Engineer,40k -43k,40k,43k,39726 - 42810 Fourchette
FairMoney,Data Engineer,67k -73k,67k,73k,66870 - 73151 Fourchette
MP DATA,Data Engineer,47k -51k,47k,51k,46524 - 51051 Fourchette
TeamWork Corporate,Data Engineer,45k -49k,45k,49k,44959 - 49056 Fourchette
Bouygues Telecom,Data Engineer,35k -38k,35k,38k,35224 - 37990 Fourchette
Ad Scientiam,Data Engineer,42k -45k,42k,45k,41543 - 45033 Fourchette
Sanofi,Data Engineer,40k -43k,40k,43k,39798 - 43259 Fourchette
Hardis Group,Data Engineer,38k -41k,38k,41k,38388 - 41222 Fourchette
Belo,Data Engineer,39k -42k,39k,42k,38752 - 42199 Fourchette
Sodexo,Data Engineer,43k -46k,43k,46k,42633 - 45587 Fourchette
AXA / France,Data Engineer,57k -62k,57k,62k,57098 - 61867 Fourchette
Ministère de la Défense,Data Engineer - Contrat temporaire,42k -46k,42k,46k,42402 - 46326 Fourchette
BNP Paribas,Data Engineer - Mensuel,2k -3k,2k,3k,2306 - 2512 Fourchette
5 Degrés,Data Engineer,41k -44k,41k,44k,40807 - 44034 Fourchette
Infor,Data Engineer,54k$US -58k$US,54k$US,58k$US,53729$US - 58081$US Fourchette
Advitam,Data Engineer,41k -44k,41k,44k,40703 - 44252 Fourchette
Innovafeed,Data Engineer,45k -49k,45k,49k,44872 - 49127 Fourchette
Smile Group,Data Engineer,40k -43k,40k,43k,39669 - 42936 Fourchette
ekino,Data Engineer,41k -45k,41k,45k,41143 - 44555 Fourchette
Groupe Fortil,Data Engineer,33k -36k,33k,36k,33395 - 35911 Fourchette
Brand & Consumer Technologies,Data Engineer,51k -55k,51k,55k,50840 - 54810 Fourchette
Bpifrance,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1205 - 1319 Fourchette
Groupe Bouygues,Data Engineer,53k$US -57k$US,53k$US,57k$US,52692$US - 57097$US Fourchette
Business Immo,Data Engineer - Mensuel,3k -4k,3k,4k,3491 - 3776 Fourchette
onepoint,Data Engineer - Stagiaire mensuel,2k -2k,2k,2k,1538 - 1662 Fourchette
Infopro Digital,Data Engineer,57k -62k,57k,62k,57470 - 61886 Fourchette
Accenture,Data Engineer - Stagiaire mensuel,1k -2k,1k,2k,1492 - 1630 Fourchette
MLMConseil,Data Engineer,39k -42k,39k,42k,39054 - 41860 Fourchette
Safra National Bank of New York,Data Engineer,41k -43k,41k,43k,40664 - 43491 Fourchette
WeMaintain,Data Engineer,46k -50k,46k,50k,45850 - 50321 Fourchette
Startup,Data Engineer,56k -61k,56k,61k,55620 - 60749 Fourchette
Decathlon,Data Engineer - Stagiaire mensuel,926 -995,926,995,926 - 995 Fourchette
Generali,Data Engineer - Stagiaire mensuel,1k -1k,1k,1k,1063 - 1155 Fourchette
Algolia,Data Engineer,65k -71k,65k,71k,64616 - 71041 Fourchette
Proxiad,Data Engineer,43k -47k,43k,47k,43459 - 47050 Fourchette
Baobab,Data Engineer,48k -51k,48k,51k,47775 - 51439 Fourchette
Organisation for Economic Co-operation and Development,Data Engineer - Stagiaire mensuel,715 -776,715,776,715 - 776 Fourchette
TotalEnergies,Data Engineer - Contrat temporaire mensuel,3k -3k,3k,3k,2604 - 2810 Fourchette
Linkt,Data Engineer,44k -48k,44k,48k,44409 - 48112 Fourchette
DataDome,Data Engineer,41k -45k,41k,45k,41049 - 44612 Fourchette
Schlumberger,Data Engineer,10k -11k,10k,11k,10301 - 11144 Fourchette
Crédit Mutuel Arkea,Data Engineer,43k -46k,43k,46k,43230 - 46271 Fourchette
360° Fahrenheit,Data Engineer,28k -30k,28k,30k,27887 - 30349 Fourchette
TravelCar (France),Data Engineer,46k -50k,46k,50k,46119 - 49733 Fourchette
Adthink,Data Engineer,32k -35k,32k,35k,32033 - 34629 Fourchette
Dashlane,Data Engineer,49k -54k,49k,54k,49498 - 53575 Fourchette
ONE2TEAM,Data Engineer,43k -47k,43k,47k,43349 - 46957 Fourchette
Meetic,Data Engineer,52k$US -57k$US,52k$US,57k$US,51826$US - 56530$US Fourchette
